_id,District,Local Level Name,Total family number,Total household number,Total population,Total Male,Total Female,mismatch,Male percentage,Female percentage,Sex Ration,population density,Average family size,Average household size
25,Ilam,Rong Rural Municipality,4715,4650,17555,8739,8816,True,49.78,50.22,0.99,3.775268817204301,3.72,3.78
26,Ilam,Sandakpur Rural Municipality,4031,3937,15460,7840,7620,True,50.71,49.29,1.03,3.9268478536957074,3.84,3.93
27,Ilam,Suryodaya Municipality,14149,13463,55457,27922,27535,True,50.35,49.65,1.01,4.119215628017529,3.92,4.12
28,Jhapa,Arjundhara Municipality,20978,5195,84429,40591,43838,True,48.08,51.92,0.93,4.444801263490392,4.02,16.25
29,Jhapa,Barhadashi Rural Municipality,9053,8665,37916,17952,19964,True,47.35,52.65,0.9,4.375764570109636,4.19,4.38
30,Jhapa,Bhadrapur Municipality,17385,5195,70823,33988,36835,True,47.99,52.01,0.92,4.417602295409182,4.07,13.63
31,Jhapa,Birtamod Municipality,29861,5195,25508,57136,60219,True,48.69,51.31,0.95,5.093754069187031,0.85,4.91
32,Jhapa,Buddhashanti Rural Municipality,13276,12518,52911,25276,27635,True,47.77,52.23,0.91,4.226793417478831,3.99,4.23
33,Jhapa,Damak Municipality,27725,5195,25508,51118,56292,True,47.59,52.41,0.91,4.882272727272727,0.92,4.91
34,Jhapa,Gauradhaha Municipality,14845,14137,60598,28782,31816,True,47.5,52.5,0.9,4.286482280540426,4.08,4.29
35,Jhapa,Gauriganj Rural Municipality,8712,8069,36058,17089,18969,True,47.39,52.61,0.9,4.46870739868633,4.14,4.47
36,Jhapa,Haldibari Rural Municipality,7894,7621,33054,15831,17223,True,47.89,52.11,0.92,4.33722608581551,4.19,4.34
37,Jhapa,Jhapa Rural Municipality,8554,8003,39372,19131,20241,True,48.59,51.41,0.95,4.919655129326503,4.6,4.92
38,Jhapa,Kachankawal Rural Municipality,10200,9260,42386,20024,22362,True,47.24,52.76,0.9,4.5773218142548595,4.16,4.58
39,Jhapa,Kamal Rural Municipality,13356,12335,53710,25739,27971,True,47.92,52.08,0.92,4.354276449128496,4.02,4.35
40,Jhapa,Kankai Municipality,13553,12419,53088,25557,27531,True,48.14,51.86,0.93,4.274740317255818,3.92,4.27
41,Jhapa,Mechinagar Municipality,32710,5195,25508,64410,67110,True,48.97,51.03,0.96,4.4038171772978405,0.78,4.91
42,Jhapa,Shivasataxi Municipality,18036,5195,73460,34872,38588,True,47.47,52.53,0.9,4.313311021079208,4.07,14.14
43,Morang,Belbari Municipality,20662,5195,81837,38460,43377,True,47.0,53.0,0.89,4.319714964370546,3.96,15.75
44,Morang,Biratnagar Metropolitian City,57383,5195,25508,122769,121981,True,50.16,49.84,1.01,5.414343863374922,0.44,4.91
45,Morang,Budhiganga Rural Municipality,12455,10768,51640,25472,26168,True,49.33,50.67,0.97,4.7956909361069835,4.15,4.8
46,Morang,Dhanpalthan Rural Municipality,9935,8528,45204,22136,23068,True,48.97,51.03,0.96,5.300656660412758,4.55,5.3
47,Morang,Gramthan Rural Municipality,9483,8660,36500,17889,18611,True,49.01,50.99,0.96,4.214780600461894,3.85,4.21
48,Morang,Jahada Rural Municipality,9868,8489,47836,24262,23574,True,50.72,49.28,1.03,5.635057132760043,4.85,5.64
49,Morang,Kanepokhari Rural Municipality,10760,10271,43177,20441,22736,True,47.34,52.66,0.9,4.20377762632655,4.01,4.2
50,Morang,Katahari Rural Municipality,10522,9370,48633,24414,24219,True,50.2,49.8,1.01,5.190288153681964,4.62,5.19
51,Morang,Kerabari Rural Municipality,8809,8184,34725,16768,17957,True,48.29,51.71,0.93,4.243035190615836,3.94,4.24
52,Morang,Letang Municipality,9304,8758,38675,18473,20202,True,47.76,52.24,0.91,4.415962548527061,4.16,4.42
53,Morang,Miklajung Rural Municipality,8390,7969,33315,16074,17241,True,48.25,51.75,0.93,4.180574727067386,3.97,4.18
54,Morang,Patahrishanishchare Municipality,18191,5195,72689,34263,38426,True,47.14,52.86,0.89,4.37332290475904,4.0,13.99
55,Morang,Rangeli Municipality,13339,11903,57814,28238,29576,True,48.84,51.16,0.95,4.8570948500378055,4.33,4.86
56,Morang,Ratuwamai Municipality,14624,13768,61355,29091,32264,True,47.41,52.59,0.9,4.456348053457292,4.2,4.46
57,Morang,Sundarharaicha Municipality,30219,5195,25508,57858,63447,True,47.7,52.3,0.91,4.547175469505566,0.84,4.91
58,Morang,Sunwarshi Municipality,12889,11401,56169,27092,29077,True,48.23,51.77,0.93,4.926673098850978,4.36,4.93
59,Morang,Uralabari Municipality,17818,5195,71562,33827,37735,True,47.27,52.73,0.9,4.501037801119567,4.02,13.78
60,Sunsari,Barahchhetra Municipality,21961,5195,25508,43178,48713,True,46.99,53.01,0.89,4.421875751888744,1.16,4.91
61,Sunsari,Barju Rural Municipality,8034,6867,36533,18571,17962,True,50.83,49.17,1.03,5.320081549439347,4.55,5.32
62,Sunsari,Bhokraha Narsing Rural Municipality,9299,8155,49371,24501,24870,True,49.63,50.37,0.99,6.0540772532188845,5.31,6.05
63,Sunsari,Dewanganj Rural Municipality,7814,6526,39367,19710,19657,True,50.07,49.93,1.0,6.032332209623046,5.04,6.03
64,Sunsari,Dharan Sub-Metropolitian City,43815,5195,25508,82683,90413,True,47.77,52.23,0.91,4.96916805419992,0.58,4.91
65,Sunsari,Duhabi Municipality,15415,12410,67051,33448,33603,True,49.88,50.12,1.0,5.402981466559226,4.35,5.4
66,Sunsari,Gadhi Rural Municipality,8751,7664,39478,19426,20052,True,49.21,50.79,0.97,5.151096033402923,4.51,5.15
67,Sunsari,Harinagar Rural Municipality,8765,7630,49501,24459,25042,True,49.41,50.59,0.98,6.487680209698558,5.65,6.49
68,Sunsari,Inaruwa Municipality,16931,5195,75920,37273,38647,True,49.1,50.9,0.96,5.046530178144111,4.48,14.61
69,Sunsari,Itahari Sub-Metropolitian City,50743,5195,25508,94308,103790,True,47.61,52.39,0.91,4.926953018131171,0.5,4.91
70,Sunsari,Koshi Rural Municipality,9377,7634,48768,24550,24218,True,50.34,49.66,1.01,6.388263033796175,5.2,6.39
71,Sunsari,Ramdhuni Municipality,15969,14025,63378,29980,33398,True,47.3,52.7,0.9,4.518930481283422,3.97,4.52
72,Dhankuta,Chaubise Rural Municipality,4493,4233,17914,8764,9150,True,48.92,51.08,0.96,4.231986770611859,3.99,4.23
73,Dhankuta,Chhathar Jorpati Rural Municipality,4143,3932,16477,7976,8501,True,48.41,51.59,0.94,4.190488301119023,3.98,4.19
74,Dhankuta,Dhankuta Municipality,9803,8087,36156,17387,18769,True,48.09,51.91,0.93,4.4708791888215655,3.69,4.47
75,Dhankuta,Shahidbhumi Rural Municipality,4109,4079,17784,8807,8977,True,49.52,50.48,0.98,4.359892130424123,4.33,4.36
76,Dhankuta,Mahalaxmi Municipality,5434,5251,22196,10862,11334,True,48.94,51.06,0.96,4.227004380118073,4.08,4.23
77,Dhankuta,Pakhribas Municipality,4881,4644,19256,9247,10009,True,48.02,51.98,0.92,4.146425495262704,3.95,4.15
78,Dhankuta,Sangurigadhi Rural Municipality,5025,4860,19601,9626,9975,True,49.11,50.89,0.97,4.033127572016461,3.9,4.03
79,Terhathum,Aathrai Rural Municipality,4427,4223,18210,8996,9214,True,49.4,50.6,0.98,4.312100402557424,4.11,4.31
80,Terhathum,Chhathar Rural Municipality,3509,3390,14245,6960,7285,True,48.86,51.14,0.96,4.202064896755163,4.06,4.2
81,Terhathum,Laligurans Municipality,3773,3439,15418,7482,7936,True,48.53,51.47,0.94,4.4832800232625765,4.09,4.48
82,Terhathum,Menchayam Rural Municipality,1708,1620,6698,3272,3426,True,48.85,51.15,0.96,4.1345679012345675,3.92,4.13
83,Terhathum,Myanglung Municipality,4934,4163,19078,9347,9731,True,48.99,51.01,0.96,4.582752822483786,3.87,4.58
84,Terhathum,Phedap Rural Municipality,3671,3517,15236,7506,7730,True,49.26,50.74,0.97,4.332101222632926,4.15,4.33
85,Sankhuwasabha,Bhotkhola Rural Municipality,1717,1677,6509,3256,3253,True,50.02,49.98,1.0,3.881335718545021,3.79,3.88
86,Sankhuwasabha,Chainpur Municipality,6690,6201,27078,13210,13868,True,48.78,51.22,0.95,4.366715045960329,4.05,4.37
87,Sankhuwasabha,Chichila Rural Municipality,1672,1583,6720,3351,3369,True,49.87,50.13,0.99,4.245104232469994,4.02,4.25
88,Sankhuwasabha,Dharmadevi Municipality,4071,3906,16300,7890,8410,True,48.4,51.6,0.94,4.173067076292883,4.0,4.17
89,Sankhuwasabha,Khandbari Municipality,9333,8151,36102,17967,18135,True,49.77,50.23,0.99,4.42914979757085,3.87,4.43
90,Sankhuwasabha,Madi Municipality,3288,3169,13428,6584,6844,True,49.03,50.97,0.96,4.237298832439255,4.08,4.24
91,Sankhuwasabha,Makalu Rural Municipality,3485,3309,13492,6920,6572,True,51.29,48.71,1.05,4.077364762768208,3.87,4.08
92,Sankhuwasabha,Panchakhapan Municipality,4010,3897,16391,8060,8331,True,49.17,50.83,0.97,4.206055940467026,4.09,4.21
93,Sankhuwasabha,Sabhapokhari Rural Municipality,2533,2362,10005,5012,4993,True,50.09,49.91,1.0,4.235817104149026,3.95,4.24
94,Sankhuwasabha,Silichong Rural Municipality,2501,2427,10432,5223,5209,True,50.07,49.93,1.0,4.298310671611042,4.17,4.3
95,Bhojpur,Aamchowk Rural Municipality,3566,3472,15237,7517,7720,True,49.33,50.67,0.97,4.388536866359447,4.27,4.39
96,Bhojpur,Arun Rural Municipality,3582,3487,14853,7247,7606,True,48.79,51.21,0.95,4.259535417264124,4.15,4.26
97,Bhojpur,Bhojpur Municipality,6775,6078,26126,12676,13450,True,48.52,51.48,0.94,4.298453438631129,3.86,4.3
98,Bhojpur,Hatuwagadhi Rural Municipality,4040,3987,16302,8030,8272,True,49.26,50.74,0.97,4.088788562829195,4.04,4.09
99,Bhojpur,Pauwadungma Rural Municipality,2933,2866,12170,5851,6319,True,48.08,51.92,0.93,4.246336357292393,4.15,4.25
100,Bhojpur,Ramprasad Rai Rural Municipality,3700,3627,15632,7741,7891,True,49.52,50.48,0.98,4.309897987317342,4.22,4.31
101,Bhojpur,Salpasilichho Rural Municipality,3019,2972,12229,6008,6221,True,49.13,50.87,0.97,4.114737550471063,4.05,4.11
102,Bhojpur,Shadananda Municipality,7450,7139,29777,14681,15096,True,49.3,50.7,0.97,4.1710323574730355,4.0,4.17
103,Bhojpur,Temkemaiyung Rural Municipality,3855,3773,15491,7611,7880,True,49.13,50.87,0.97,4.105751391465677,4.02,4.11
104,Solukhumbu,Thulung Dudhkoshi Rural Municipality,4672,4568,18459,9225,9234,True,49.98,50.02,1.0,4.040936952714536,3.95,4.04
105,Solukhumbu,Maapya Dudhkoshi Rural Municipality,3142,3102,12746,6422,6324,True,50.38,49.62,1.02,4.108961960025789,4.06,4.11
106,Solukhumbu,Khumbupasanglahmu Rural Municipality,2611,2341,9226,4737,4489,True,51.34,48.66,1.06,3.94105083297736,3.53,3.94
107,Solukhumbu,Likhupike Rural Municipality,1255,1255,5264,2588,2676,True,49.16,50.84,0.97,4.1944223107569725,4.19,4.19
108,Solukhumbu,Mahakulung Rural Municipality,2909,2885,11971,5921,6050,True,49.46,50.54,0.98,4.149393414211438,4.12,4.15
109,Solukhumbu,Nechasalyan Rural Municipality,2662,2631,10828,5325,5503,True,49.18,50.82,0.97,4.115545419992398,4.07,4.12
110,Solukhumbu,Solududhakunda Municipality,6830,6335,27013,13700,13313,True,50.72,49.28,1.03,4.264088397790055,3.96,4.26
111,Solukhumbu,Sotang Rural Municipality,2321,2271,9261,4711,4550,True,50.87,49.13,1.04,4.077939233817702,3.99,4.08
112,Okhaldhunga,Champadevi Rural Municipality,4040,3977,16528,8146,8382,True,49.29,50.71,0.97,4.155896404324868,4.09,4.16
113,Okhaldhunga,Chisankhugadhi Rural Municipality,3346,3321,13761,6711,7050,True,48.77,51.23,0.95,4.143631436314363,4.11,4.14
114,Okhaldhunga,Khijidemba Rural Municipality,3496,3461,15867,7926,7941,True,49.95,50.05,1.0,4.584513146489454,4.54,4.58
115,Okhaldhunga,Likhu Rural Municipality,3189,3125,11930,5912,6018,True,49.56,50.44,0.98,3.8176,3.74,3.82
116,Okhaldhunga,Manebhanjyang Rural Municipality,4855,4795,19883,9626,10257,True,48.41,51.59,0.94,4.146611053180396,4.1,4.15
117,Okhaldhunga,Molung Rural Municipality,4173,4116,16944,8464,8480,True,49.95,50.05,1.0,4.11661807580175,4.06,4.12
118,Okhaldhunga,Siddhicharan Municipality,7173,6957,27977,13554,14423,True,48.45,51.55,0.94,4.0214172775621675,3.9,4.02
119,Okhaldhunga,Sunkoshi Rural Municipality,4417,4359,18024,8983,9041,True,49.84,50.16,0.99,4.134893324156916,4.08,4.13
120,Khotang,Ainselukhark Rural Municipality,3506,3421,13581,6713,6868,True,49.43,50.57,0.98,3.9698918444899154,3.87,3.97
121,Khotang,Barahapokhari Rural Municipality,2591,2540,11461,5713,5748,True,49.85,50.15,0.99,4.5122047244094485,4.42,4.51
122,Khotang,Diprung Chuichumma Rural Municipality,3848,3780,16549,8139,8410,True,49.18,50.82,0.97,4.378042328042328,4.3,4.38
123,Khotang,Halesi Tuwachung Municipality,6149,5948,27274,13434,13840,True,49.26,50.74,0.97,4.585406859448554,4.44,4.59
124,Khotang,Jantedhunga Rural Municipality,2765,2713,12066,5934,6132,True,49.18,50.82,0.97,4.4474751197935865,4.36,4.45
125,Khotang,Kepilasagadhi Rural Municipality,3346,3237,13339,6583,6756,True,49.35,50.65,0.97,4.120790855730615,3.99,4.12
126,Khotang,Khotehang Rural Municipality,4149,4056,16952,8417,8535,True,49.65,50.35,0.99,4.17948717948718,4.09,4.18
127,Khotang,Rawa Besi Rural Municipality,2724,2646,11218,5424,5794,True,48.35,51.65,0.94,4.239606953892668,4.12,4.24
128,Khotang,Diktel Rupakot Majhuwagadhi Municipality,10719,9775,43295,21345,21950,True,49.3,50.7,0.97,4.429156010230179,4.04,4.43
129,Khotang,Sakela Rural Municipality,2307,2276,9605,4819,4786,True,50.17,49.83,1.01,4.2201230228471,4.16,4.22
130,Udayapur,Belaka Municipality,12170,11633,51458,24631,26827,True,47.87,52.13,0.92,4.423450528668443,4.23,4.42
131,Udayapur,Chaudandigadhi Municipality,12857,12162,53537,25389,28148,True,47.42,52.58,0.9,4.401989804308502,4.16,4.4
132,Udayapur,Katari Municipality,14296,12843,60168,29250,30918,True,48.61,51.39,0.95,4.684886708712917,4.21,4.68
133,Udayapur,Rautamai Rural Municipality,4586,4434,20418,10017,10401,True,49.06,50.94,0.96,4.604871447902571,4.45,4.6
134,Udayapur,Limchungbung Rural Municipality,2257,2229,9789,4837,4952,True,49.41,50.59,0.98,4.391655450874832,4.34,4.39
135,Udayapur,Tapli Rural Municipality,2884,2843,13377,6648,6729,True,49.7,50.3,0.99,4.705240942666197,4.64,4.71
136,Udayapur,Triyuga Municipality,25928,5195,25508,49514,54861,True,47.44,52.56,0.9,4.510977612585357,0.98,4.91
137,Udayapur,Udayapurgadhi Rural Municipality,6810,6650,28929,14093,14836,True,48.72,51.28,0.95,4.350225563909774,4.25,4.35
138,Saptari,Agnisair Krishna Savaran Rural Municipality,6726,6092,32047,15735,16312,True,49.1,50.9,0.96,5.260505581089954,4.76,5.26
139,Saptari,Balan Bihul Rural Municipality,5004,3770,24059,12169,11890,True,50.58,49.42,1.02,6.381697612732095,4.81,6.38
140,Saptari,Rajgadh Rural Municipality,6942,5687,32975,16564,16411,True,50.23,49.77,1.01,5.798311939511166,4.75,5.8
141,Saptari,Bishnupur Rural Municipality,5780,5007,28072,14230,13842,True,50.69,49.31,1.03,5.606550828839625,4.86,5.61
142,Saptari,Bode Barsain Municipality,9854,7988,46343,23092,23251,True,49.83,50.17,0.99,5.801577366049074,4.7,5.8
143,Saptari,Chhinnamasta Rural Municipality,6373,4747,30664,15416,15248,True,50.27,49.73,1.01,6.45965873183063,4.81,6.46
144,Saptari,Dakneshwori Municipality,10094,7954,48314,24055,24259,True,49.79,50.21,0.99,6.074176514961026,4.79,6.07
145,Saptari,Hanumannagar Kankalini Municipality,11130,8680,51926,26330,25596,True,50.71,49.29,1.03,5.982258064516129,4.67,5.98
146,Saptari,Kanchanrup Municipality,12662,10277,58882,28949,29933,True,49.16,50.84,0.97,5.729493042716746,4.65,5.73
147,Saptari,Khadak Municipality,11355,9432,54193,26139,28054,True,48.23,51.77,0.93,5.745653095843935,4.77,5.75
148,Saptari,Mahadeva Rural Municipality,6522,5322,31048,15737,15311,True,50.69,49.31,1.03,5.833897031191282,4.76,5.83
149,Saptari,Rajbiraj Municipality,15121,13062,71946,36942,35004,True,51.35,48.65,1.06,5.508038585209003,4.76,5.51
150,Saptari,Rupani Rural Municipality,6963,5801,30064,14806,15258,True,49.25,50.75,0.97,5.182554731942768,4.32,5.18
151,Saptari,Saptakoshi Rural Municipality,5305,4624,23891,11632,12259,True,48.69,51.31,0.95,5.16673875432526,4.5,5.17
152,Saptari,Shambhunath Municipality,8824,7388,39423,18943,20480,True,48.05,51.95,0.92,5.336085544125609,4.47,5.34
153,Saptari,Surunga Municipality,10611,8979,49668,23899,25769,True,48.12,51.88,0.93,5.531573671901103,4.68,5.53
154,Saptari,Tilathi Koiladi Rural Municipality,6874,5366,34257,17459,16798,True,50.96,49.04,1.04,6.384084979500559,4.98,6.38
155,Saptari,Tirahut Rural Municipality,5151,4148,23987,12086,11901,True,50.39,49.61,1.02,5.782786885245901,4.66,5.78
156,Siraha,Arnama Rural Municipality,5208,4231,28137,13741,14396,True,48.84,51.16,0.95,6.650200898132829,5.4,6.65
157,Siraha,Aurahi Rural Municipality,5891,4092,27194,13669,13525,True,50.26,49.74,1.01,6.645650048875855,4.62,6.65
158,Siraha,Bariyarpatti Rural Municipality,5965,4475,29859,14876,14983,True,49.82,50.18,0.99,6.672402234636872,5.01,6.67
159,Siraha,Bhagawanpur Rural Municipality,4650,3553,23324,11544,11780,True,49.49,50.51,0.98,6.564593301435407,5.02,6.56
160,Siraha,Bishnupur Rural Municipality,4870,3821,22796,11303,11493,True,49.58,50.42,0.98,5.965977492802931,4.68,5.97
161,Siraha,Dhangadhimai Municipality,11133,9657,54244,26617,27627,True,49.07,50.93,0.96,5.617065341203272,4.87,5.62
162,Siraha,Golbazar Municipality,13214,10853,65263,32258,33005,True,49.43,50.57,0.98,6.013360361190454,4.94,6.01
163,Siraha,Kalyanpur Municipality,12491,9869,59986,28789,31197,True,47.99,52.01,0.92,6.0782247441483435,4.8,6.08
164,Siraha,Karjanha Municipality,8440,6696,38940,18965,19975,True,48.7,51.3,0.95,5.815412186379929,4.61,5.82
165,Siraha,Lahan Municipality,21488,5195,25508,51063,51892,True,49.6,50.4,0.98,5.773609241812472,1.19,4.91
166,Siraha,Laxmipur Patari Rural Municipality,6666,5235,31103,14912,16191,True,47.94,52.06,0.92,5.941356255969437,4.67,5.94
167,Siraha,Mirchaiya Municipality,12905,10496,60086,30054,30032,True,50.02,49.98,1.0,5.724657012195122,4.66,5.72
168,Siraha,Naraha Rural Municipality,4419,3787,23656,12319,11337,True,52.08,47.92,1.09,6.246633218906786,5.35,6.25
169,Siraha,Nawarajpur Rural Municipality,4268,3214,20832,10214,10618,True,49.03,50.97,0.96,6.481642812694462,4.88,6.48
170,Siraha,Sakhuwanankarkatti Rural Municipality,4263,3223,20951,10230,10721,True,48.83,51.17,0.95,6.500465404902265,4.91,6.5
171,Siraha,Siraha Municipality,19810,5195,25508,47306,49237,True,49.0,51.0,0.96,6.30587851077727,1.29,4.91
172,Siraha,Sukhipur Municipality,8912,7192,42547,21189,21358,True,49.8,50.2,0.99,5.915878754171302,4.77,5.92
173,Dhanusa,Aaurahi Rural Municipality,4846,4036,24338,11773,12565,True,48.37,51.63,0.94,6.030227948463826,5.02,6.03
174,Dhanusa,Bateshwor Rural Municipality,4766,3903,21473,10670,10803,True,49.69,50.31,0.99,5.50166538560082,4.51,5.5
175,Dhanusa,Bideha Municipality,7764,6156,37881,18446,19435,True,48.69,51.31,0.95,6.1535087719298245,4.88,6.15
176,Dhanusa,Chhireshwornath Municipality,10826,8913,53031,26708,26323,True,50.36,49.64,1.01,5.949848535846517,4.9,5.95
177,Dhanusa,Dhanauji Rural Municipality,4683,3704,21960,10481,11479,True,47.73,52.27,0.91,5.928725701943844,4.69,5.93
178,Dhanusa,Dhanusadham Municipality,10959,9216,53035,26337,26698,True,49.66,50.34,0.99,5.754665798611111,4.84,5.75
179,Dhanusa,Ganeshman Charnath Municipality,9400,8139,44900,21982,22918,True,48.96,51.04,0.96,5.516648236884138,4.78,5.52
180,Dhanusa,Hansapur Municipality,8958,7336,44929,21997,22932,True,48.96,51.04,0.96,6.124454743729553,5.02,6.12
181,Dhanusa,Janaknandani Rural Municipality,5627,4480,28267,13556,14711,True,47.96,52.04,0.92,6.309598214285714,5.02,6.31
182,Dhanusa,Janakpurdham Sub-Metropolitian City,41941,5195,25508,100417,95021,True,51.38,48.62,1.06,5.992824727094321,0.61,4.91
183,Dhanusa,Kamala Municipality,9160,7332,45477,22103,23374,True,48.6,51.4,0.95,6.20253682487725,4.96,6.2
184,Dhanusa,Lakshminiya Rural Municipality,6609,5409,33212,16161,17051,True,48.66,51.34,0.95,6.1401368090220005,5.03,6.14
185,Dhanusa,Mithila Bihari Municipality,7651,6094,38008,18830,19178,True,49.54,50.46,0.98,6.236954381358713,4.97,6.24
186,Dhanusa,Mithila Municipality,10522,9159,47408,23715,23693,True,50.02,49.98,1.0,5.1761109291407355,4.51,5.18
187,Dhanusa,Mukhiyapatti Musarmiya Rural Municipality,5585,4467,29351,14937,14414,True,50.89,49.11,1.04,6.5706290575330195,5.26,6.57
188,Dhanusa,Nagarain Municipality,7962,6426,37949,18682,19267,True,49.23,50.77,0.97,5.905539993775288,4.77,5.91
189,Dhanusa,Sabaila Municipality,12279,10144,62510,30630,31880,True,49.0,51.0,0.96,6.162263406940063,5.09,6.16
190,Dhanusa,Sahidnagar Municipality,11288,8944,53546,26387,27159,True,49.28,50.72,0.97,5.986806797853309,4.74,5.99
191,Mahottari,Aurahi Municipality,7841,6376,40834,20496,20338,True,50.19,49.81,1.01,6.404328732747804,5.21,6.4
192,Mahottari,Balwa Municipality,10052,8139,50031,24606,25425,True,49.18,50.82,0.97,6.147069664577958,4.98,6.15
193,Mahottari,Bardibas Municipality,15938,13635,68353,34179,34174,True,50.0,50.0,1.0,5.013054638797213,4.29,5.01
194,Mahottari,Bhangaha Municipality,11336,9017,56570,27508,29062,True,48.63,51.37,0.95,6.273705223466785,4.99,6.27
195,Mahottari,Ekdanra Rural Municipality,6000,4735,32060,16099,15961,True,50.22,49.78,1.01,6.770855332629356,5.34,6.77
196,Mahottari,Gaushala Municipality,16090,13367,73008,36367,36641,True,49.81,50.19,0.99,5.4618089324455745,4.54,5.46
197,Mahottari,Jaleswor Municipality,13685,10607,63501,31620,31881,True,49.79,50.21,0.99,5.986706891675309,4.64,5.99
198,Mahottari,Loharpatti Municipality,9627,7658,46336,22359,23977,True,48.25,51.75,0.93,6.050665970227214,4.81,6.05
199,Mahottari,Mahottari Rural Municipality,6845,5430,32652,16211,16441,True,49.65,50.35,0.99,6.0132596685082875,4.77,6.01
200,Mahottari,Manra Siswa Municipality,9343,7691,49126,24418,24708,True,49.7,50.3,0.99,6.387465869197763,5.26,6.39
201,Mahottari,Matihani Municipality,7356,5748,36063,17620,18443,True,48.86,51.14,0.96,6.274008350730689,4.9,6.27
202,Mahottari,Pipra Rural Municipality,8514,6459,39500,19764,19736,True,50.04,49.96,1.0,6.115497755070444,4.64,6.12
203,Mahottari,Ramgopalpur Municipality,6921,5630,36594,18240,18354,True,49.84,50.16,0.99,6.499822380106572,5.29,6.5
204,Mahottari,Samsi Rural Municipality,7100,5478,38676,18818,19858,True,48.66,51.34,0.95,7.0602409638554215,5.45,7.06
205,Mahottari,Sonama Rural Municipality,9252,7524,51736,26647,25089,True,51.51,48.49,1.06,6.876129718234981,5.59,6.88
206,Sarlahi,Bagmati Municipality,10785,9960,45459,22454,23005,True,49.39,50.61,0.98,4.5641566265060245,4.22,4.56
207,Sarlahi,Balara Municipality,9118,6760,47602,24635,22967,True,51.75,48.25,1.07,7.041715976331361,5.22,7.04
208,Sarlahi,Barahathawa Municipality,16257,13540,83257,42271,40986,True,50.77,49.23,1.03,6.148966026587888,5.12,6.15
209,Sarlahi,Basbariya Rural Municipality,4675,3908,26406,13495,12911,True,51.11,48.89,1.05,6.756908904810645,5.65,6.76
210,Sarlahi,Bishnu Rural Municipality,4784,3587,25870,13350,12520,True,51.6,48.4,1.07,7.212155004181768,5.41,7.21
211,Sarlahi,Bramhapuri Rural Municipality,5383,4048,27878,13831,14047,True,49.61,50.39,0.98,6.886857707509882,5.18,6.89
212,Sarlahi,Chakraghatta Rural Municipality,5041,4150,29166,15057,14109,True,51.63,48.37,1.07,7.0279518072289155,5.79,7.03
213,Sarlahi,Chandranagar Rural Municipality,6808,5320,37517,19111,18406,True,50.94,49.06,1.04,7.052067669172932,5.51,7.05
214,Sarlahi,Dhankaul Rural Municipality,5121,4077,28500,14688,13812,True,51.54,48.46,1.06,6.990434142752023,5.57,6.99
215,Sarlahi,Godaita Municipality,9510,7919,54346,27841,26505,True,51.23,48.77,1.05,6.862735193837605,5.71,6.86
216,Sarlahi,Haripur Municipality,8445,7041,43609,21546,22063,True,49.41,50.59,0.98,6.193580457321403,5.16,6.19
217,Sarlahi,Haripurwa Municipality,6854,5210,36523,18469,18054,True,50.57,49.43,1.02,7.0101727447216895,5.33,7.01
218,Sarlahi,Hariwan Municipality,11120,9984,51333,25283,26050,True,49.25,50.75,0.97,5.1415264423076925,4.62,5.14
219,Sarlahi,Ishworpur Municipality,13776,11907,68626,34124,34502,True,49.72,50.28,0.99,5.763500461913161,4.98,5.76
220,Sarlahi,Kabilasi Municipality,8150,6702,44688,22487,22201,True,50.32,49.68,1.01,6.667860340196956,5.48,6.67
221,Sarlahi,Kaudena Rural Municipality,5805,4478,29226,14638,14588,True,50.09,49.91,1.0,6.5265743635551585,5.03,6.53
222,Sarlahi,Lalbandi Municipality,15960,13905,67507,33555,33952,True,49.71,50.29,0.99,4.854872348076231,4.23,4.85
223,Sarlahi,Malangawa Municipality,10305,7918,53204,27167,26037,True,51.06,48.94,1.04,6.719373579186663,5.16,6.72
224,Sarlahi,Parsa Rural Municipality,4656,3625,24039,12262,11777,True,51.01,48.99,1.04,6.631448275862069,5.16,6.63
225,Sarlahi,Ramnagar Rural Municipality,5853,4373,31687,16335,15352,True,51.55,48.45,1.06,7.24605533958381,5.41,7.25
226,Rautahat,Baudhimai Municipality,6091,4899,39348,20260,19088,True,51.49,48.51,1.06,8.031843233312921,6.46,8.03
227,Rautahat,Brindaban Municipality,8237,6751,50144,24994,25150,True,49.84,50.16,0.99,7.427640349577841,6.09,7.43
228,Rautahat,Chandrapur Municipality,17237,5195,83350,41245,42105,True,49.48,50.52,0.98,5.544100039909538,4.84,16.04
229,Rautahat,Dewahhi Gonahi Municipality,6340,4990,38808,19561,19247,True,50.4,49.6,1.02,7.777154308617234,6.12,7.78
230,Rautahat,Durga Bhagwati Rural Municipality,4136,3369,23226,11809,11417,True,50.84,49.16,1.03,6.8940338379341055,5.62,6.89
231,Rautahat,Gadhimai Municipality,7850,6306,49642,25191,24451,True,50.75,49.25,1.03,7.872185220424992,6.32,7.87
232,Rautahat,Garuda Municipality,9765,7796,60009,30685,29324,True,51.13,48.87,1.05,7.697408927655208,6.15,7.7
233,Rautahat,Gaur Municipality,7743,6062,40368,20655,19713,True,51.17,48.83,1.05,6.659188386671065,5.21,6.66
234,Rautahat,Gujara Municipality,9682,7989,54089,26391,27698,True,48.79,51.21,0.95,6.770434347227438,5.59,6.77
