_id,District,Local Level Name,Total family number,Total household number,Total population,Total Male,Total Female,mismatch,Male percentage,Female percentage,Sex Ration,population density,Average family size,Average household size
735,Baitadi,Dasharathchanda Municipality,7339,6095,31786,15053,16733,True,47.36,52.64,0.9,5.215094339622642,4.33,5.22
736,Baitadi,Dilasaini Rural Municipality,4925,3930,23233,11347,11886,True,48.84,51.16,0.95,5.911704834605598,4.72,5.91
737,Baitadi,Dogadakedar Rural Municipality,4774,3998,23619,10854,12765,True,45.95,54.05,0.85,5.907703851925963,4.95,5.91
738,Baitadi,Melauli Municipality,4626,3890,21000,9735,11265,True,46.36,53.64,0.86,5.3984575835475574,4.54,5.4
739,Baitadi,Pancheshwar Rural Municipality,3617,2986,17780,8130,9650,True,45.73,54.27,0.84,5.9544541192230405,4.92,5.95
740,Baitadi,Patan Municipality,6276,5195,28360,13415,14945,True,47.3,52.7,0.9,5.459095283926853,4.52,5.46
741,Baitadi,Purchaudi Municipality,7236,6417,38666,18701,19965,True,48.37,51.63,0.94,6.02555711391616,5.34,6.03
742,Baitadi,Shivanath Rural Municipality,3435,2919,18247,8489,9758,True,46.52,53.48,0.87,6.251113394998287,5.31,6.25
743,Baitadi,Sigas Rural Municipality,4367,3652,23479,11153,12326,True,47.5,52.5,0.9,6.42907995618839,5.38,6.43
744,Baitadi,Surnaya Rural Municipality,3877,3206,18230,8549,9681,True,46.9,53.1,0.88,5.686213349968808,4.7,5.69
745,Darchula,Apihimal Rural Municipality,1363,1256,7023,3438,3585,True,48.95,51.05,0.96,5.5915605095541405,5.15,5.59
746,Darchula,Byas Rural Municipality,2361,2168,10205,4884,5321,True,47.86,52.14,0.92,4.707103321033211,4.32,4.71
747,Darchula,Dunhu Rural Municipality,2293,1906,9912,4580,5332,True,46.21,53.79,0.86,5.2004197271773345,4.32,5.2
748,Darchula,Lekam Rural Municipality,3045,2645,13638,6520,7118,True,47.81,52.19,0.92,5.156143667296786,4.48,5.16
749,Darchula,Mahakali Municipality,6080,4596,24572,12072,12500,True,49.13,50.87,0.97,5.3463881636205395,4.04,5.35
750,Darchula,Malikaarjun Rural Municipality,3241,2993,15754,7631,8123,True,48.44,51.56,0.94,5.263615101904444,4.86,5.26
751,Darchula,Marma Rural Municipality,3086,2704,15586,7551,8035,True,48.45,51.55,0.94,5.7640532544378695,5.05,5.76
752,Darchula,Naugad Rural Municipality,3156,2920,16434,7988,8446,True,48.61,51.39,0.95,5.6280821917808215,5.21,5.63
753,Darchula,Shailyashikhar Municipality,4561,4012,21932,10685,11247,True,48.72,51.28,0.95,5.466600199401794,4.81,5.47
